country,year,sum_percentage_where_content_withheld_yr,gdp,sum_total_requests_made_yr
Greece,2018,0,218031844583.994,1
Haiti,2018,0,9658721168.86849,0
Hong Kong,2018,0,362682018243.286,0
India,2018,4.88,2718732231257.57,256
Indonesia,2018,0,1042173300625.55,189
Iraq,2018,0,224228010477.889,0
Ireland,2018,27,382487490532.479,11
Israel,2018,33,370587977153.583,3
Italy,2018,0,2083864259622.65,7
Japan,2018,5.7,4971323079771.87,212
Kazakhstan,2018,0,179339994859.384,2
Kenya,2018,0,87908262519.9164,0
Kuwait,2018,0,140645364238.411,3
Kyrgyzstan,2018,0,8092836608.78875,4
Lebanon,2018,0,56639155555.5556,3
Luxembourg,2018,0,70885325883.0941,0
Macedonia,2018,0,12672131053.1578,0
Malaysia,2018,0,358581943446.259,12
Maldives,2018,0,5327457149.72581,0
Mexico,2018,0,1220699479845.98,4
Mongolia,2018,0,13066749138.3261,0
Nepal,2018,0,29040398982.3466,0
Netherlands,2018,0,913658465709.125,3
New Zealand,2018,0,204923917869.355,0
Norway,2018,0,434166615431.909,0
Oman,2018,0,79276723016.9051,3
Pakistan,2018,0,314588210501.063,244
Panama,2018,0,65055100000,36
Paraguay,2018,0,40496953779.071,0
Philippines,2018,0,330910343610.956,0
Poland,2018,0,585663814824.044,3
Portugal,2018,0,240674524464.24,0
Qatar,2018,0,191362087912.088,0
Russian Federation,2018,30.07,1657554647149.87,1957
Saudi Arabia,2018,0,786521831571.957,8
Serbia,2018,0,50597289146.7041,0
Singapore,2018,0,364156657769.87,2
Slovenia,2018,0,54007972106.4629,0
South Africa,2018,0,368288939768.322,0
South Korea,2018,0.73,1619423701169.63,196
Spain,2018,0,1419041949909.82,14
Sri Lanka,2018,0,88900770857.6351,0
Sweden,2018,0,556086488936.559,0
Switzerland,2018,0,705140354166.312,0
Thailand,2018,0,504992757704.997,0
Tunisia,2018,0,39871132267.9361,0
Turkey,2018,17.13,771350330455.267,9585
Ukraine,2018,0,130832374404.882,0
United Arab Emirates,2018,0,414178942592.479,111
United Kingdom,2018,7.74,2855296731521.96,69
United States,2018,0,20544343456936.5,101
Uruguay,2018,0,59596885024.3487,0
Uzbekistan,2018,0,50499921557.5105,0
